2.160.10	2205	610	553	769	6625	1743	778	640	215	721	1476	620	206	514	53	708	59	1143	1270	160	75	8	158	1770	620	225	242	361	125	95	363	274	191	596	1876	78	206	213	747	230	96	216	
2.160.10	2152	627	558	689	6448	1747	788	691	234	736	1518	649	195	465	34	679	59	1207	1356	181	84	8	204	1592	597	256	227	325	101	70	321	284	208	512	1632	77	188	189	642	195	81	154	
2.160.10	2061	580	501	808	5773	1667	578	465	244	738	1297	680	210	296	38	749	94	938	1073	197	85	7	119	1671	513	295	195	327	87	54	268	282	283	508	1785	86	198	133	781	245	88	297	
2.160.10	1351	391	317	495	3957	1130	411	484	175	421	783	278	181	329	24	424	49	658	830	155	38	7	85	1117	425	140	137	260	97	61	275	196	87	350	1160	40	134	123	499	159	42	157	
2.160.10	2014	559	502	761	5852	1637	592	467	219	798	1347	787	204	312	13	818	96	1041	1140	162	81	5	126	1616	543	299	210	300	82	70	275	305	295	557	1774	78	153	134	793	210	84	280	
2.160.10	2309	695	649	849	6639	1880	783	576	258	936	1867	1029	366	466	48	1103	185	1148	1356	185	96	7	157	1860	698	380	314	415	100	97	408	321	350	545	1858	95	209	174	816	257	103	269	
2.160.10	2283	681	640	834	6566	1872	757	584	241	891	1869	989	392	470	49	1048	199	1149	1342	181	90	5	151	1853	688	365	304	402	94	96	405	307	336	525	1832	90	215	169	798	259	102	259	
2.160.10	1042	331	262	368	2934	855	366	298	116	376	646	320	100	209	19	347	33	507	660	102	45	2	83	788	303	146	110	197	57	33	166	177	89	240	838	44	94	100	346	119	54	93	
2.160.10	1257	433	367	416	3546	1127	479	362	188	544	878	535	217	273	24	607	93	716	912	160	77	8	103	928	357	217	153	233	68	45	209	224	178	295	965	63	102	101	373	148	64	95	
2.160.10	2096	629	574	747	6388	1804	736	565	225	895	1645	956	307	434	36	1039	166	1135	1305	187	99	10	145	1730	654	346	289	381	99	70	360	304	321	517	1758	78	201	167	748	248	109	234	
2.160.10	2068	593	537	745	6291	1664	637	484	181	874	1498	891	250	461	30	916	138	1035	1221	128	87	10	154	1706	628	340	242	313	75	75	347	288	278	478	1698	78	170	169	790	229	85	240	
