2.160.10	0	0	0	0	0	0	0	188	188	188	188	188	188	190	229	325	402	485	571	677	754	815	869	927	953	990	1035	1102	1182	1235	1293	1379	1459	1534	1606	1714	1835	1975	2111	2234	2345	2434	2521	2618	2739	2838	2953	3063	3184	3288	3398	3506	3625	3740	3867	3980	4112	4227	4396	4544	4680	4817	4967	5112	5262	5407	5542	5703	5850	6005	6173	6333	6492	6634	6764	6895	7026	7140	7288	7424	7580	7738	7896	8052	8195	8352	8494	8644	8787	8927	9086	9243	9372	9513	9638	9764	9867	9978	10089	10194	10288	10405	10514	10625	10720	10856	10966	11074	11184	11301	11401	11495	11599	11701	11780	11899	11988	12103	12181	12294	12386	12484	12573	12657	12728	12813	12888	12961	13039	13113	13175	13275	13355	13452	13524	13597	13684	13786	13869	13944	14029	14123	14191	14267	14320	14379	14433	14503	14564	14608	14661
2.160.10	0	0	0	0	0	0	0	191	191	191	191	191	192	195	224	314	378	478	588	670	743	829	900	940	980	1017	1047	1123	1194	1266	1325	1398	1477	1578	1665	1746	1857	1985	2142	2274	2400	2499	2619	2701	2802	2906	3008	3135	3267	3389	3507	3628	3744	3884	4008	4111	4241	4385	4533	4693	4835	4980	5127	5257	5392	5546	5708	5870	6013	6186	6396	6583	6734	6882	7027	7179	7319	7456	7563	7708	7820	7986	8164	8335	8500	8677	8868	9035	9190	9335	9502	9639	9781	9930	10095	10270	10397	10510	10639	10764	10888	11011	11141	11270	11393	11510	11642	11782	11922	12042	12171	12306	12424	12529	12661	12760	12875	13003	13118	13248	13353	13476	13576	13680	13784	13889	13988	14084	14185	14298	14390	14488	14582	14679	14772	14850	14941	15041	15157	15259	15353	15423	15515	15599	15678	15752	15835	15897	15959	16021	16070
2.160.10	0	0	0	0	0	0	0	199	199	199	199	199	201	205	241	325	400	507	606	684	765	825	875	915	946	991	1035	1086	1151	1213	1281	1337	1407	1474	1545	1651	1748	1870	1984	2101	2210	2317	2399	2481	2570	2676	2767	2884	2995	3110	3213	3334	3443	3540	3667	3780	3892	4031	4156	4295	4436	4554	4715	4843	4981	5125	5270	5394	5548	5697	5854	5992	6143	6293	6440	6584	6716	6847	6991	7121	7253	7410	7565	7727	7878	8045	8199	8355	8519	8678	8821	8966	9127	9288	9413	9545	9684	9827	9961	10095	10248	10411	10525	10670	10823	10934	11084	11221	11341	11462	11593	11729	11861	11985	12116	12237	12384	12523	12652	12782	12900	13008	13131	13250	13387	13488	13600	13711	13820	13945	14064	14191	14305	14416	14531	14624	14733	14843	14943	15044	15175	15273	15375	15488	15589	15701	15814	15909	16001	16084	16184
2.160.10	0	0	0	0	0	0	0	119	119	119	119	124	125	132	161	221	275	330	383	435	470	502	542	575	604	631	661	713	752	785	818	867	907	963	1013	1086	1155	1215	1290	1383	1466	1528	1583	1638	1674	1732	1813	1884	1951	2027	2084	2142	2199	2263	2321	2373	2454	2558	2645	2715	2796	2905	2993	3096	3170	3249	3323	3400	3478	3529	3597	3669	3745	3825	3906	3985	4056	4132	4197	4281	4364	4457	4525	4567	4632	4694	4768	4821	4894	4965	5028	5079	5121	5162	5208	5253	5312	5357	5401	5448	5493	5541	5586	5624	5675	5715	5755	5798	5844	5886	5918	5949	5995	6034	6072	6105	6147	6179	6210	6237	6269	6296	6325	6357	6387	6411	6433	6467	6490	6521	6550	6570	6585	6616	6642	6665	6702	6722	6742	6762	6774	6787	6806	6820	6838	6857	6871	6888	6903	6917	6925
2.160.10	0	0	0	0	0	0	0	181	181	181	181	181	182	187	224	294	362	483	570	641	716	766	813	850	902	941	987	1037	1093	1151	1210	1268	1338	1406	1496	1591	1690	1796	1921	2021	2124	2214	2291	2375	2479	2574	2677	2784	2883	2978	3087	3188	3288	3408	3543	3651	3770	3893	4023	4147	4278	4411	4525	4656	4780	4907	5042	5160	5294	5453	5598	5734	5866	6001	6117	6244	6384	6515	6639	6759	6911	7047	7177	7333	7484	7625	7760	7907	8038	8170	8307	8442	8594	8718	8861	8988	9113	9245	9361	9490	9611	9722	9848	9958	10063	10187	10302	10418	10535	10653	10767	10871	10983	11081	11196	11314	11436	11541	11645	11758	11870	11984	12077	12171	12253	12350	12445	12550	12655	12738	12838	12929	13029	13132	13222	13287	13387	13458	13552	13635	13722	13808	13895	13978	14058	14138	14225	14300	14362	14441	14510
2.160.10	0	0	0	0	0	0	0	209	209	209	209	209	209	210	239	338	417	552	661	741	828	908	955	1007	1065	1101	1151	1209	1278	1365	1439	1505	1588	1674	1795	1916	2046	2169	2301	2433	2562	2673	2790	2903	3028	3148	3278	3414	3552	3670	3803	3921	4047	4197	4345	4511	4676	4818	4993	5169	5333	5486	5649	5833	6016	6174	6350	6517	6708	6891	7068	7250	7435	7617	7803	7978	8164	8358	8514	8689	8861	9050	9248	9445	9637	9806	10000	10215	10385	10557	10741	10918	11127	11308	11510	11683	11845	11997	12155	12320	12498	12657	12844	12995	13170	13321	13515	13667	13841	13992	14135	14307	14466	14616	14764	14912	15062	15198	15355	15499	15638	15781	15916	16053	16189	16323	16471	16607	16738	16859	16975	17104	17215	17318	17439	17548	17664	17792	17898	18016	18126	18251	18370	18472	18555	18639	18717	18827	18933	19031	19116
2.160.10	0	0	0	0	0	0	0	205	205	205	205	205	206	209	237	331	418	536	658	734	814	897	952	996	1049	1084	1141	1201	1266	1350	1421	1499	1581	1670	1788	1891	2029	2157	2278	2427	2543	2658	2770	2894	3014	3135	3275	3401	3541	3656	3779	3902	4026	4186	4319	4492	4648	4787	4964	5143	5306	5465	5611	5784	5978	6157	6319	6482	6671	6840	7033	7191	7395	7564	7755	7928	8098	8292	8454	8638	8797	8980	9172	9367	9567	9733	9932	10131	10299	10470	10649	10832	11013	11208	11404	11570	11726	11871	12028	12199	12369	12529	12695	12845	13014	13175	13341	13513	13679	13815	13974	14141	14287	14434	14571	14715	14854	14995	15154	15288	15418	15547	15675	15813	15948	16059	16207	16336	16464	16578	16694	16801	16913	17017	17134	17218	17336	17462	17566	17678	17786	17901	18008	18112	18185	18265	18351	18445	18538	18632	18704
2.160.10	0	0	0	0	0	0	0	102	102	102	102	102	102	103	117	155	200	253	290	336	381	408	434	465	479	501	523	556	588	617	664	697	739	769	812	859	908	971	1040	1101	1154	1199	1242	1288	1330	1380	1436	1502	1559	1602	1665	1716	1788	1834	1892	1941	2007	2065	2132	2194	2261	2315	2364	2431	2493	2557	2640	2695	2752	2832	2898	2967	3034	3086	3147	3201	3254	3316	3365	3418	3480	3537	3612	3669	3724	3778	3838	3893	3955	3999	4040	4086	4141	4197	4241	4296	4338	4372	4417	4443	4474	4513	4549	4578	4616	4640	4674	4703	4734	4764	4797	4820	4836	4860	4877	4896	4914	4931	4960	4987	5004	5017	5035	5050	5063	5079	5092	5101	5116	5127	5139	5147	5155	5165	5172	5180	5191	5195	5199	5207	5214	5218	5219	5223	5225	5228	5233	5234	5235	5238	5240
2.160.10	0	0	0	0	0	0	0	119	119	119	119	119	119	123	137	179	228	294	347	408	451	491	524	559	589	606	631	675	712	756	806	856	901	956	1007	1058	1122	1204	1281	1373	1452	1509	1570	1624	1690	1741	1804	1881	1958	2028	2107	2175	2249	2341	2399	2474	2551	2618	2700	2776	2857	2935	3024	3103	3189	3277	3356	3440	3528	3628	3727	3811	3892	3963	4042	4119	4199	4272	4355	4415	4503	4604	4681	4752	4831	4902	4974	5042	5132	5199	5269	5333	5400	5466	5534	5601	5649	5714	5773	5824	5870	5920	5977	6020	6078	6115	6163	6209	6253	6285	6327	6370	6398	6430	6462	6499	6535	6570	6603	6635	6662	6685	6714	6741	6771	6792	6811	6836	6853	6868	6879	6893	6911	6930	6944	6957	6964	6971	6985	6997	7003	7011	7022	7029	7034	7041	7047	7053	7057	7060	7070
2.160.10	0	0	0	0	0	0	0	172	172	172	172	172	174	175	204	288	366	464	538	628	710	758	823	862	890	933	969	1027	1100	1154	1222	1284	1350	1429	1499	1600	1697	1819	1923	2049	2143	2236	2320	2437	2537	2634	2737	2846	2956	3049	3161	3269	3375	3496	3607	3731	3833	3974	4101	4257	4385	4510	4625	4761	4885	5032	5166	5309	5451	5625	5782	5900	6048	6200	6308	6426	6579	6710	6836	6972	7108	7233	7382	7533	7684	7847	8004	8147	8282	8401	8536	8689	8818	8955	9088	9235	9354	9468	9596	9718	9839	9948	10047	10164	10269	10375	10502	10637	10736	10825	10918	11020	11113	11195	11315	11413	11509	11614	11711	11811	11901	11983	12080	12159	12232	12298	12364	12454	12540	12613	12687	12752	12824	12883	12946	13002	13067	13132	13206	13283	13352	13408	13467	13520	13565	13609	13668	13724	13759	13799	13839
